team,logoId,conference,wins,losses,ties,win_pct,wr_target_share,te_target_share,rb_target_share,wr1_catches,wr1_name,wr1_position,wr1_share,wr2_catches,wr2_name,wr2_share,wr3_catches,wr3_name,wr3_share,top3_share,pass_concentration,te1_name,te1_catches,rb1_rushes,rb1_name,rb1_position,rb1_share,rb2_rushes,rb2_name,rb2_share,rbbc,rush_concentration,pass_distribution_style,rush_distribution_style,qb_rating,pass_int_pct,sack_rate,pass_td_pct,pass_comp_pct,rush_broken_tackle_rate,rush_yds_per_att,pass_yds_per_att,yds_per_play,td_per_play,turnover_diff,explosive_plays_per_game,def_sacks_per_game,rush_td_pct,drop_rate,rec_yac_pct,total_turnovers,pass_rush_ratio
Colts,9,AFC,11.0,6.0,0.0,0.6470588235294118,56.016597510373444,19.502074688796682,24.481327800829874,63.0,Alec Pierce,WR,26.141078838174277,41.0,Tyler Warren,17.012448132780083,39.0,Jason Carroll,16.182572614107883,59.33609958506224,1710.714347204766,Tyler Warren,41.0,201.0,Jason Carroll,HB,54.47154471544715,58.0,Anthony Richardson Sr,15.718157181571815,False,3531.2607868626105,Concentrated,Feature Back,95.81,6.666666666666667,3.8997214484679668,4.9275362318840585,74.78260869565217,0.1897018970189702,4.5501355013550135,9.611594202898551,6.995798319327731,0.05742296918767507,1.0,0.8235294117647058,1.7352941176470589,6.504065040650407,6.614785992217899,40.44073853484217,34.0,0.9349593495934959
Commanders,25,NFC,13.0,3.0,1.0,0.7941176470588235,44.25087108013937,32.05574912891986,23.693379790940767,63.0,Terry McLaurin,WR,21.951219512195124,57.0,Jonathan Taylor,19.860627177700348,44.0,Mark Andrews,15.33101045296167,57.142857142857146,1497.0437907465187,Mark Andrews,44.0,199.0,Jonathan Taylor,HB,58.70206489675516,57.0,Jayden Daniels,16.8141592920354,False,3913.6450257133156,Balanced,Feature Back,109.38999999999999,3.2994923857868024,3.431372549019608,5.32994923857868,79.44162436548223,0.22418879056047197,5.498525073746313,8.8248730964467,7.286493860845839,0.08049113233287858,14.0,0.9411764705882353,2.2941176470588234,11.209439528023598,4.810996563573884,55.220017256255396,20.0,1.1622418879056047
Cowboys,10,NFC,11.0,6.0,0.0,0.6470588235294118,40.647482014388494,32.73381294964029,26.618705035971225,65.0,Jake Ferguson,TE,23.381294964028775,44.0,Dennis Burnett,15.827338129496402,44.0,CeeDee Lamb,15.827338129496402,55.03597122302158,1441.5661715232131,Jake Ferguson,65.0,230.0,Cameron Yancey,HB,59.12596401028277,97.0,Jaydon Blue,24.93573264781491,False,4230.014340375757,Balanced,Feature Back,87.26,7.390300230946882,5.664488017429194,7.852193995381063,64.20323325635104,0.2570694087403599,6.089974293059126,7.912240184757506,7.049878345498784,0.0681265206812652,1.0,1.1176470588235294,1.4705882352941178,5.655526992287918,8.02675585284281,41.62288382953882,37.0,1.1131105398457584
Dolphins,11,AFC,6.0,11.0,0.0,0.35294117647058826,51.515151515151516,26.262626262626267,22.22222222222222,60.0,Marvin Mims Jr,WR,20.2020202020202,56.0,Rashod Bateman,18.855218855218855,54.0,De'Von Achane,18.181818181818183,57.239057239057246,1509.4831593148092,Brandon Wagner,51.0,202.0,De'Von Achane,HB,76.22641509433963,44.0,Max McClain,16.60377358490566,False,6103.381986472055,Concentrated,Bellcow,72.84,10.021321961620469,4.86815415821501,5.543710021321962,63.965884861407254,0.2943396226415094,5.3283018867924525,7.3070362473347545,6.592643051771117,0.05040871934604905,-22.0,0.6470588235294118,1.411764705882353,4.150943396226415,11.349693251533742,44.8051948051948,52.0,1.769811320754717
Eagles,12,NFC,8.0,9.0,0.0,0.47058823529411764,54.69387755102041,21.63265306122449,23.6734693877551,63.0,DeVonta Smith,WR,25.71428571428571,51.0,Saquon Barkley,20.816326530612244,46.0,Bryan Zeigler,18.775510204081634,65.30612244897958,1881.216159933361,Bryan Zeigler,46.0,262.0,Saquon Barkley,HB,75.50432276657061,39.0,Jalen Hurts,11.239193083573488,False,5901.967460904086,Concentrated,Bellcow,84.2,6.534090909090909,10.204081632653061,4.261363636363636,73.01136363636364,0.2824207492795389,6.844380403458214,8.059659090909092,7.456366237482118,0.06437768240343347,-9.0,1.2941176470588236,1.8235294117647058,8.645533141210375,5.9760956175298805,45.89354952414522,33.0,1.0144092219020173
Falcons,13,NFC,5.0,12.0,0.0,0.29411764705882354,44.87632508833922,36.74911660777385,18.374558303886925,81.0,Kyle Pitts,TE,28.621908127208478,59.0,Drake London,20.848056537102476,47.0,Bijan Robinson,16.607773851590103,66.07773851590105,1862.1783266116445,Kyle Pitts,81.0,265.0,Bijan Robinson,HB,88.9261744966443,14.0,Michael Penix Jr,4.697986577181208,False,7948.966262780957,Concentrated,Bellcow,81.75,8.11965811965812,3.3057851239669422,5.769230769230769,60.470085470085465,0.3691275167785235,6.285234899328859,8.694444444444445,7.757180156657963,0.06919060052219321,-16.0,1.0,1.411764705882353,8.724832214765101,9.446254071661238,35.93020398132219,46.0,1.570469798657718
Giants,15,NFC,10.0,6.0,1.0,0.6176470588235294,50.78740157480315,25.196850393700785,24.015748031496063,57.0,Ladd McConkey,WR,22.440944881889763,56.0,Jahmyr Gibbs,22.04724409448819,45.0,Tim Mack,17.716535433070867,62.20472440944882,1637.8882757765514,Tim Mack,45.0,256.0,Jahmyr Gibbs,HB,82.64411990776325,22.0,Tyjae Spears,7.102229054573406,False,6926.452483485476,Concentrated,Bellcow,95.96,6.451612903225806,7.6923076923076925,8.064516129032258,64.24731182795699,0.20960799385088394,7.2862413528055345,9.137096774193548,8.296151428371864,0.07773974994761472,-12.0,1.3529411764705883,2.2058823529411766,7.425057647963105,10.181818181818182,42.96038543897217,34.0,1.200922367409685
Jaguars,16,AFC,10.0,7.0,0.0,0.5882352941176471,48.275862068965516,28.35249042145594,23.371647509578544,70.0,Zay Flowers,WR,26.81992337164751,60.0,Sam LaPorta,22.988505747126435,57.0,Bhayshul Tuten,21.839080459770116,71.64750957854406,1982.7953200921888,Sam LaPorta,60.0,203.0,Bhayshul Tuten,HB,70.73170731707317,60.0,Trevor Lawrence,20.905923344947734,False,5471.111704646166,Concentrated,Bellcow,102.85,6.860158311345646,8.232445520581114,7.651715039577836,71.50395778364116,0.25435540069686413,4.442508710801394,10.055408970976254,7.636636636636637,0.07207207207207207,11.0,0.5294117647058824,1.0588235294117647,6.620209059233449,10.357142857142858,38.93991078457098,39.0,1.3205574912891986
Jets,17,AFC,0.0,17.0,0.0,0.0,48.209366391184574,28.37465564738292,21.487603305785125,88.0,Mason Taylor,TE,24.242424242424242,73.0,Jalen Tolbert,20.110192837465565,59.0,Breece Hall,16.2534435261708,60.60606060606061,1646.8972216530444,Mason Taylor,88.0,238.0,Breece Hall,HB,80.67796610169492,26.0,Zach Reese,8.813559322033898,False,6637.288135593221,Concentrated,Bellcow,80.07,6.759098786828423,5.409836065573771,5.025996533795494,63.084922010398614,0.30847457627118646,4.040677966101695,7.395147313691508,6.260321100917431,0.04243119266055046,-26.0,0.058823529411764705,1.411764705882353,2.711864406779661,7.03125,39.39535973752051,48.0,1.9559322033898305
Lions,18,NFC,11.0,6.0,0.0,0.6470588235294118,55.115511551155116,28.71287128712871,16.17161716171617,66.0,Chris Godwin Jr,WR,21.782178217821784,64.0,Ben Herrera,21.122112211221122,52.0,Isaac TeSlaa,17.16171617161716,60.06600660066006,1593.634610985851,Ben Herrera,64.0,163.0,Nick Nava,HB,47.10982658959538,78.0,Darien Hunt,22.54335260115607,False,3148.952520966287,Concentrated,Feature Back,103.56,5.39906103286385,6.373626373626373,7.746478873239436,71.12676056338029,0.23699421965317918,4.228323699421965,9.54225352112676,7.160621761658031,0.06606217616580311,-3.0,0.5294117647058824,1.8823529411764706,5.202312138728324,6.012658227848101,45.608856088560884,27.0,1.23121387283237
