team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Chargers,LAC,7,,WR,553386582,Derius Davis,3,0,3053,12,1,2.30,1,100.00,0,13,0,8,13,8.00,13.00,1.86
Chargers,LAC,7,,FB,553387676,Scott Matlock,3,0,4689,44,6,12.40,7,100.00,0,15,0,24,54,3.43,7.71,4.91
Chargers,LAC,7,,TE,553388293,Jeremy Ruckert,4,0,1932,85,3,13.50,7,100.00,0,27,0,18,65,2.57,9.29,5.91
Chargers,LAC,7,,HB,553387057,Najee Harris,5,0,1308,22,1,1.60,1,100.00,0,6,0,0,6,0.00,6.00,0.55
Chargers,LAC,7,,WR,553387548,Allen Lazard,8,0,8969,13,7,67.50,23,92.00,2,81,2,130,325,5.65,14.13,29.55
Chargers,LAC,7,,TE,553386649,Will Dissly,8,0,8871,89,8,25.30,12,85.71,2,23,0,22,133,1.83,11.08,12.09
Chiefs,KC,8,,WR,553387089,Eric Humphries,0,0,3380,85,12,121.10,39,100.00,0,67,4,342,581,8.77,14.90,48.42
Chiefs,KC,8,,TE,553387373,Nick Trejo,0,0,3895,2,1,1.70,1,100.00,0,7,0,2,7,2.00,7.00,0.64
Chiefs,KC,8,,HB,553388431,Brashard Smith,1,0,10735,24,2,3.20,3,100.00,0,8,0,21,2,7.00,0.67,0.17
Chiefs,KC,8,,WR,553388289,Jalen Royals,1,0,10714,11,4,20.90,4,100.00,0,75,1,55,109,13.75,27.25,9.08
Chiefs,KC,8,,WR,553388975,Xavier Worthy,2,0,10305,1,11,138.30,31,88.57,4,68,7,204,653,6.58,21.06,54.42
Chiefs,KC,8,,WR,553388213,Rashee Rice,3,0,2366,4,12,149.10,47,92.16,4,64,6,281,661,5.98,14.06,55.08
